[2024-03-05 10:26:05,878][INFO][city entered: ramat gan]
[2024-03-05 10:29:05,769][INFO][city entered: ashdod]
[2024-03-05 10:31:37,191][INFO][city entered: eilat]
[2024-03-08 17:15:01,948][INFO][A user has entered the website]
[2024-03-08 17:15:04,852][INFO][A user has entered the website]
[2024-03-08 17:15:04,862][INFO][A user has entered the website]
[2024-03-08 17:15:08,965][INFO][A user has entered the website]
[2024-03-08 17:15:09,143][INFO][A user has entered the website]
[2024-03-08 17:16:01,983][INFO][A user has entered the website]
[2024-03-08 17:16:04,898][INFO][A user has entered the website]
[2024-03-08 17:16:04,907][INFO][A user has entered the website]
[2024-03-08 17:16:14,500][INFO][A user has entered the website]
[2024-03-08 17:16:22,858][INFO][city entered: Ramle]
[2024-03-08 17:16:32,014][INFO][A user has entered the website]
[2024-03-08 17:16:34,924][INFO][A user has entered the website]
[2024-03-08 17:16:34,937][INFO][A user has entered the website]
[2024-03-08 17:16:39,198][INFO][A user has entered the website]
[2024-03-08 17:16:59,137][INFO][city entered: Ramle]
[2024-03-08 17:17:02,043][INFO][A user has entered the website]
[2024-03-08 17:17:04,931][INFO][A user has entered the website]
[2024-03-08 17:17:04,956][INFO][A user has entered the website]
[2024-03-08 17:17:09,229][INFO][A user has entered the website]
[2024-03-08 17:17:32,055][INFO][A user has entered the website]
[2024-03-08 17:17:34,958][INFO][A user has entered the website]
[2024-03-08 17:17:34,965][INFO][A user has entered the website]
[2024-03-08 17:17:39,258][INFO][A user has entered the website]
[2024-03-08 17:18:02,085][INFO][A user has entered the website]
[2024-03-08 17:18:04,969][INFO][A user has entered the website]
[2024-03-08 17:18:04,989][INFO][A user has entered the website]
[2024-03-08 17:18:09,289][INFO][A user has entered the website]
[2024-03-08 17:18:32,097][INFO][A user has entered the website]
[2024-03-08 17:18:34,993][INFO][A user has entered the website]
[2024-03-08 17:18:35,006][INFO][A user has entered the website]
[2024-03-08 17:18:39,318][INFO][A user has entered the website]
